,Label,clean_motivation
0,0,recognition extraordinary services rendered discovery remarkable rays subsequently named
1,2,work serum therapy especially application diphtheria opened new road domain medical science thereby placed hands physician victorious weapon illness deaths
2,4,humanitarian efforts help wounded soldiers create international understanding
3,4,lifelong work international peace conferences diplomacy arbitration
4,3,special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect
5,1,recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions
6,1,recognition extraordinary services rendered work sugar purine syntheses
7,3,greatest living master art historical writing special reference monumental work IA history RomeI
8,4,eminently practical administration InterParliamentary Union
9,4,untiring skilful directorship Bern Peace Bureau
10,0,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
11,2,work malaria shown enters organism thereby laid foundation successful research disease methods combating
12,0,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
13,0,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
14,4,longstanding devoted effort favour ideas peace arbitration
15,0,recognition extraordinary services rendered discovery spontaneous radioactivity
16,0,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
17,1,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
18,2,recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened new avenue medical science
19,3,tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit
20,1,recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation
21,3,recognition numerous brilliant compositions individual original manner revived great traditions Spanish drama
22,0,investigations densities important gases discovery argon connection studies
23,4,striving public law develop peaceful ties nations make laws war humane
24,1,recognition services discovery inert gaseous elements air determination place periodic system
25,2,recognition work physiology digestion knowledge vital aspects subject transformed enlarged
26,3,recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work Provenccedilal philologist
27,1,recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds
28,3,outstanding merits epic writer
29,0,work cathode rays
30,4,audacity oppose horrors war
31,2,investigations discoveries relation tuberculosis
32,3,consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces
33,4,role bringing end bloody war recently waged two worlds great powers Japan Russia
34,0,recognition great merits theoretical experimental investigations conduction electricity gases
35,2,recognition work structure nervous system
36,1,recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called
37,2,recognition work structure nervous system
38,2,recognition work role played protozoa causing diseases
39,1,biochemical researches discovery cellfree fermentation
40,3,consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author
41,4,decisive influence upon conduct outcome Hague Geneva Conferences
42,4,work press peace meetings public private understanding France Italy
43,0,optical precision instruments spectroscopic metrological investigations carried aid
44,1,investigations disintegration elements chemistry radioactive substances
45,3,recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life
46,4,long time work cause peace politicians peace society leaders orators authors
47,2,recognition work immunity
48,2,recognition work immunity
49,4,long time work cause peace politicians peace society leaders orators authors
50,0,method reproducing colours photographically based phenomenon interference
51,0,recognition contributions development wireless telegraphy
52,2,work physiology pathology surgery thyroid gland
53,3,appreciation lofty idealism vivid imagination spiritual perception characterize writings
54,1,recognition work catalysis investigations fundamental principles governing chemical equilibria rates reaction
55,0,recognition contributions development wireless telegraphy
56,4,prominent position international movement peace arbitration
57,4,prominent position international movement peace arbitration
58,3,tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer worldrenowned short stories
59,4,acting link peace societies various countries helping organize world rallies international peace movement
60,0,work equation state gases liquids
61,2,recognition contributions knowledge cell chemistry made work proteins including nucleic substances
62,1,recognition services organic chemistry chemical industry pioneer work field alicyclic compounds
63,4,effort expose fight considers main cause war namely anarchy international relations
64,4,role cofounder Institut de droit international initiator Conferences International Private Law Conférences de Droit international privé Hague pioneer field international legal relations
65,0,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
66,1,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
67,0,discoveries regarding laws governing radiation heat
68,3,appreciation manysided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals sometimes guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations
69,2,work dioptrics eye
70,3,primarily recognition fruitful varied outstanding production realm dramatic art
71,2,recognition work vascular suture transplantation blood vessels organs
72,1,method hydrogenating organic compounds presence finely disintegrated metals whereby progress organic chemistry greatly advanced recent years
73,1,discovery socalled Grignard reagent recent years greatly advanced progress organic chemistry
